sentence,start,end,label
can i get four sisig and four sushi,10 15 25 30,14 20 29 35,ORDER_COUNT ORDER ORDER_COUNT ORDER
can i get five nuggets and five hamburger,10 15 27 32,14 22 31 41,ORDER_COUNT ORDER ORDER_COUNT ORDER
can i get six sisig and six burrito,10 14 24 28,13 19 27 35,ORDER_COUNT ORDER ORDER_COUNT ORDER
can i get seven pizza and seven spaghetti,10 16 26 32,15 21 31 41,ORDER_COUNT ORDER ORDER_COUNT ORDER
can i get eight sushi and eight nuggets,10 16 26 32,15 21 31 39,ORDER_COUNT ORDER ORDER_COUNT ORDER
can i get nine pizza and nine fried chicken,10 15 25 30,14 20 29 43,ORDER_COUNT ORDER ORDER_COUNT ORDER
can we get one fried chicken and one spaghetti,11 15 33 37,14 28 36 46,ORDER_COUNT ORDER ORDER_COUNT ORDER
can we get two spaghetti and two fried chicken,11 15 29 33,14 24 32 46,ORDER_COUNT ORDER ORDER_COUNT ORDER
can we get three hamburger and three milk tea,11 17 31 37,16 26 36 45,ORDER_COUNT ORDER ORDER_COUNT ORDER
can we get four sisig and four sushi,11 16 26 31,15 21 30 36,ORDER_COUNT ORDER ORDER_COUNT ORDER
can we get five nuggets and five hamburger,11 16 28 33,15 23 32 42,ORDER_COUNT ORDER ORDER_COUNT ORDER
can we get six sisig and six burrito,11 15 25 29,14 20 28 36,ORDER_COUNT ORDER ORDER_COUNT ORDER
can we get seven pizza and seven spaghetti,11 17 27 33,16 22 32 42,ORDER_COUNT ORDER ORDER_COUNT ORDER
can we get eight sushi and eight nuggets,11 17 27 33,16 22 32 40,ORDER_COUNT ORDER ORDER_COUNT ORDER
can we get nine pizza and nine fried chicken,11 16 26 31,15 21 30 44,ORDER_COUNT ORDER ORDER_COUNT ORDER
hi my name is leo gadil,14,23,PERSON
name is leo gadil,8,17,PERSON
my name is leo,11,14,PERSON
my name is drei,11,15,PERSON
name is denice,8,14,PERSON
my name is jhay-ar,11,18,PERSON
my name is jayron,11,15,PERSON
im leo,3,6,PERSON
im matt,3,7,PERSON
im jayron,3,9,PERSON
im denice,3,9,PERSON
im jhay-ar,3,10,PERSON
remove one pizza and two fried chicken,7 11 21 25,10 16 24 35,ORDER_COUNT ORDER ORDER_COUNT ORDER
remove three sushi and four nuggets,7 13 23 28,12 18 27 35,ORDER_COUNT ORDER ORDER_COUNT ORDER
remove five pizza and six burrito,7 12 22 26,11 17 25 33,ORDER_COUNT ORDER ORDER_COUNT ORDER
remove seven hamburger and eight milk tea,7 13 27 33,12 22 32 41,ORDER_COUNT ORDER ORDER_COUNT ORDER
remove nine sisig and one spaghetti,7 12 22 26,11 17 25 35,ORDER_COUNT ORDER ORDER_COUNT ORDER
remove pizza and fried chicken,7 17,12 30,ORDER ORDER
remove sushi and nuggets,7 17,12 24,ORDER ORDER
remove pizza and burrito,7 17,12 24,ORDER ORDER
remove hamburger and milk tea,7 21,16 29,ORDER ORDER
remove sisig and spaghetti,7 17,12 26,ORDER ORDER
remove pizza and fried chicken,7 17,12 30,ORDER ORDER
can i remove one pizza and two fried chicken,13 17 27 31,16 22 30 44,ORDER_COUNT ORDER ORDER_COUNT ORDER
can i remove three sushi and four nuggets,13 19 29 34,18 24 33 41,ORDER_COUNT ORDER ORDER_COUNT ORDER
can i remove five pizza and six burrito,13 18 28 33,17 23 32 40,ORDER_COUNT ORDER ORDER_COUNT ORDER
can i remove seven hamburger and eight milk tea,13 19 33 39,18 28 38 47,ORDER_COUNT ORDER ORDER_COUNT ORDER
can we remove nine sisig and spaghetti,7 12 22,11 17 32,ORDER_COUNT ORDER ORDER
can we remove pizza and fried chicken,7 17,12 30,ORDER ORDER
can we remove sushi and nuggets,7 17,12 24,ORDER ORDER
can we remove pizza and burrito,7 17,12 24,ORDER ORDER
i need to remove hamburger and milk tea,17 31,26 39,ORDER ORDER
i need to remove sisig and spaghetti,17 27,22 36,ORDER ORDER
i need to remove pizza and fried chicken,17 27,22 40,ORDER ORDER
i want to remove one pizza and two fried chicken,17 21 31 35,20 26 34 48,ORDER_COUNT ORDER ORDER_COUNT ORDER
i want to remove three sushi and four nuggets,17 23 33 38,22 28 37 45,ORDER_COUNT ORDER ORDER_COUNT ORDER
i want to remove five pizza and six burrito,17 22 32 36,21 27 35 43,ORDER_COUNT ORDER ORDER_COUNT ORDER
i want to remove seven hamburger and eight milk tea,17 23 37 43,22 32 42 51,ORDER_COUNT ORDER ORDER_COUNT ORDER
i want to remove nine sisig and spaghetti,17 22 32,21 27 41,ORDER_COUNT ORDER ORDER
we want to remove pizza and fried chicken,18 28,23 41,ORDER ORDER
we want to remove sushi and nuggets,18 28,23 35,ORDER ORDER
we want to remove pizza and burrito,18 28,23 35,ORDER ORDER
we want to remove hamburger and milk tea,18 32,27 40,ORDER ORDER
we will remove sisig and spaghetti,15 25,20 34,ORDER ORDER
we will remove pizza and fried chicken,15 25,20 38,ORDER ORDER
could we remove one pizza and two fried chicken,16 20 30 34,19 25 33 47,ORDER_COUNT ORDER ORDER_COUNT ORDER
could we remove three sushi and four nuggets,16 22 32 37,21 27 36 44,ORDER_COUNT ORDER ORDER_COUNT ORDER
could we remove five pizza and six burrito,16 21 31 35,20 26 34 42,ORDER_COUNT ORDER ORDER_COUNT ORDER
could we remove seven hamburger and eight milk tea,16 22 36 42,21 31 41 50,ORDER_COUNT ORDER ORDER_COUNT ORDER
could i remove nine sisig and spaghetti,15 20 30,19 25 39,ORDER_COUNT ORDER ORDER
could i remove pizza and fried chicken,15 25,20 38,ORDER ORDER
could i remove sushi and nuggets,15 25,20 32,ORDER ORDER
could i remove pizza and burrito,15 25,20 32,ORDER ORDER
remove hamburger,7,16,ORDER
remove sisig,7,12,ORDER
remove fried chicken,7,20,ORDER

